cid,sid,instructor,cname,department,Date,location,credit
BMEN E4480,1,Elham Azizi,STATISTICAL MACHINE LEARNING FOR GENOMIC,Biomedical Engineering,Spring 2022,633 Seeley W. Mudd Building,3
BMEN E4550,1,Lance Kam,MICRO/NANO STRUCT CELL ENG,Biomedical Engineering,Spring 2022,545 Seeley W. Mudd Building,3
BMEN E4999,1,Clark T Hung,FIELDWORK,Biomedical Engineering,Spring 2022,,3
BMEN E6001,1,Henry Hess,TOPICS IN BIOMED NANOTECHNOLOGY,Biomedical Engineering,Spring 2022,327 Seeley W. Mudd Building,3
BMEN E6003,1,"Jose Mcfaline-Figuero,Tal Danino,Elizabeth Olson,Elisa Konofagou",COMP MODELING-PHYSIOL SYSTEMS,Biomedical Engineering,Spring 2022,501 Northwest Corner Building,3
BMEN E6006,1,"Krista M Durney,Chirag Sachar",BIOMEDICAL DESIGN II,Biomedical Engineering,Spring 2022,825 Seeley W. Mudd Building,3
BMEN E6007,1,"Maria Rahmany,Dmytro Pokhylko",LAB-TO-MARKET,Biomedical Engineering,Spring 2022,,3
BMEN E6510,1,"Stephen H Tsang,Gordana Vunjak-Novakovic,Dietrich Egli","STEM CELL, GENOME ENG & REGEN MED",Biomedical Engineering,Spring 2022,OTHR,3
BMEN E9100,1,Gerard H Ateshian,MASTERS RESEARCH,Biomedical Engineering,Spring 2022,,2
BMEN E9700,1,"Joshua Jacobs,Elizabeth Olson",BIOMEDICAL ENGINEERING SEMINAR,Biomedical Engineering,Spring 2022,833 Seeley W. Mudd Building,3
